band_name,times_played,years_played
Knelt Rote,1,"(2015,)"
Kommandant,1,"(2013,)"
Krallice,2,"(2009, 2010)"
Kromosom,1,"(2013,)"
Kylesa,1,"(2011,)"
Lack of Interest,1,"(2011,)"
Lair of the Minotaur,1,"(2009,)"
Last Days of Humanity,1,"(2011,)"
Left for Dead,1,"(2014,)"
Leng Tch’e,2,"(2004, 2005)"
Lich King,1,"(2019,)"
Like Rats,1,"(2013,)"
Lock Up,1,"(2015,)"
Looking for an Answer,1,"(2012,)"
Lord Gore,2,"(2005, 2018)"
Loss,1,"(2013,)"
Lowlife,1,"(2019,)"
Lust of Decay,1,"(2003,)"
Lycanthrophy,1,"(2015,)"
Macabre,4,"(2004, 2008, 2012, 2017)"
Machetazo,3,"(2006, 2011, 2014)"
Magrudergrind,6,"(2005, 2006, 2009, 2010, 2013, 2016)"
Majestic Downfall,1,"(2019,)"
Malamor,1,"(2003,)"
Malevolent Creation,1,"(2007,)"
Malformity,1,"(2022,)"
Malignancy,5,"(2003, 2004, 2010, 2017, 2019)"
Malignant Altar,1,"(2022,)"
Malignant Tumour,2,"(2011, 2016)"
Mammoth Grinder,1,"(2011,)"
Man Must Die,1,"(2004,)"
Manilla Road,1,"(2013,)"
Mantar,2,"(2015, 2018)"
Marduk,1,"(2011,)"
Martyr,1,"(2008,)"
Martyrdöd,1,"(2015,)"
Maruta,2,"(2009, 2014)"
Masacre,1,"(2015,)"
Massacre,1,"(2022,)"
Masakari,1,"(2011,)"
Massgrav,1,"(2013,)"
Massgrave,1,"(2010,)"
Master,1,"(2015,)"
Master’s Hammer,1,"(2018,)"
Mayhem,2,"(2009, 2016)"
Melechesh,1,"(2010,)"
Melt Banana,1,"(2015,)"
The Melvins,1,"(2013,)"
Merrimack,1,"(2019,)"
Mesrine,1,"(2014,)"
Messiah,1,"(2019,)"
Meth Leppard,1,"(2017,)"
Mgła,1,"(2014,)"
Miasmal,1,"(2011,)"
Miasmatic Necrosis,1,"(2022,)"
Midnight,1,"(2013,)"
Misery Index,6,"(2004, 2005, 2007, 2009, 2014, 2018)"
Mitochondrion,1,"(2016,)"
Mobb Deep,1,"(2015,)"
Monstrosity,2,"(2008, 2022)"
Morbid Angel,2,"(2012, 2017)"
Morbid Saint,2,"(2012, 2017)"
Morgoth,1,"(2012,)"
Morpheus Descends,1,"(2015,)"
Morta Skuld,1,"(2018,)"
Mortal Decay,4,"(2003, 2004, 2015, 2018)"
Mortician,2,"(2019, 2022)"
Mortiferum,1,"(2022,)"
Mortuary,1,"(2019,)"
Mortuary Drape,1,"(2012,)"
Mother Brain,2,"(2015, 2017)"
Mucupurulent,1,"(2006,)"
Municipal Waste,1,"(2006,)"
Mutilation Rites,1,"(2014,)"
My Dying Bride,1,"(2014,)"
Mystifier,1,"(2016,)"
Myxoma,1,"(2017,)"
Naglfar,1,"(2019,)"
Nails,1,"(2011,)"
Napalm Death,3,"(2009, 2012, 2015)"
Napalm Raid,1,"(2022,)"
Nashgul,1,"(2012,)"
Nasum,1,"(2012,)"
Nausea,1,"(2012,)"
Nazxul,1,"(2010,)"
Neckbeard Deathcamp,1,"(2019,)"
Necrofier,1,"(2022,)"
Necrophagist,2,"(2003, 2006)"
Necrophobic,2,"(2010, 2022)"
Necropsy,1,"(2017,)"
Necros Christos,1,"(2014,)"
Needful Things,1,"(2012,)"
Negative Approach,1,"(2016,)"
Negură Bunget,1,"(2012,)"
Nekrofilth,1,"(2015,)"
Nemo,1,"(2003,)"
Neolithic,1,"(2018,)"
Neuraxis,1,"(2004,)"
Neurosis,2,"(2011, 2015)"
Nightbringer,1,"(2011,)"
Night Raids,1,"(2017,)"
Nirvana 2002,1,"(2010,)"
Nocturnal,1,"(2011,)"
Nocturnal Graves,1,"(2016,)"
Nocturnus AD,2,"(2014, 2022)"
Noisear,2,"(2011, 2015)"
